,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,sex,civil_status,class,predicted
462,'0<=X<200',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','<1',3,none,1,'real estate',(28 - 38],none,rent,1,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,1,1
463,'0<=X<200',<= 12,'existing paid',retraining,<= 1554,'no known savings','>=7',4,none,4,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
464,'no checking',(12 - 24],'existing paid',business,(1554 - 3368],'<100','4<=X<7',4,none,1,car,(28 - 38],stores,own,2,skilled,1,yes,yes,male,single,1,1
465,'<0',(12 - 24],'existing paid','used car',(1554 - 3368],'<100','1<=X<4',3,guarantor,4,'no known property',> 38,bank,own,1,skilled,2,yes,yes,male,single,1,1
466,'<0',(12 - 24],'delayed previously',radio/tv,(1554 - 3368],'<100','<1',4,none,2,car,(28 - 38],none,rent,1,'unskilled resident',1,yes,yes,female,married/wid/sep,0,0
467,'no checking',> 24,'delayed previously',radio/tv,> 3368,'no known savings','>=7',3,none,3,car,(28 - 38],bank,own,2,skilled,2,none,yes,male,single,1,1
468,'no checking',> 24,'delayed previously',business,(1554 - 3368],'<100','1<=X<4',2,none,2,car,<= 28,none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
469,'no checking',(12 - 24],'delayed previously','used car',> 3368,'<100','4<=X<7',3,none,3,car,(28 - 38],none,own,2,'unskilled resident',1,yes,yes,male,single,1,1
470,'0<=X<200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'100<=X<500','<1',3,none,2,car,<= 28,none,rent,1,skilled,1,yes,yes,male,married/wid/sep,0,1
471,'<0',<= 12,'existing paid',education,<= 1554,'<100','<1',4,none,4,'life insurance',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
472,'<0',<= 12,'existing paid','new car',<= 1554,'<100','1<=X<4',4,none,3,car,<= 28,none,own,1,'unskilled resident',1,none,yes,male,single,0,1
473,'no checking',<= 12,'existing paid',retraining,<= 1554,'no known savings',unemployed,4,none,4,'life insurance',(28 - 38],none,own,1,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,1
474,'0<=X<200',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,married/wid/sep,0,1
475,'<0',(12 - 24],'no credits/all paid',furniture/equipment,(1554 - 3368],'<100','<1',1,none,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,1
476,'no checking',> 24,'existing paid','used car',(1554 - 3368],'500<=X<1000','1<=X<4',4,none,4,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
477,'>=200',(12 - 24],'existing paid',radio/tv,> 3368,'<100','4<=X<7',4,none,2,car,<= 28,bank,own,1,skilled,1,none,yes,male,single,1,1
478,'0<=X<200',<= 12,'existing paid',business,<= 1554,'100<=X<500','4<=X<7',3,none,4,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,single,1,1
479,'<0',(12 - 24],'critical/other existing credit',furniture/equipment,<= 1554,'<100','>=7',4,none,4,car,> 38,none,own,2,skilled,2,yes,yes,male,single,1,1
480,'0<=X<200',<= 12,'critical/other existing credit',radio/tv,> 3368,'<100','1<=X<4',1,none,1,'real estate',<= 28,none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
481,'0<=X<200',(12 - 24],'existing paid','new car',<= 1554,'<100','<1',4,none,1,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,single,1,0
482,'<0',> 24,'existing paid',furniture/equipment,> 3368,'>=1000','>=7',4,none,4,'life insurance',> 38,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,1,1
483,'no checking',(12 - 24],'delayed previously',furniture/equipment,<= 1554,'>=1000','4<=X<7',3,none,2,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
484,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'500<=X<1000','1<=X<4',4,none,4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
485,'0<=X<200',<= 12,'delayed previously','new car',<= 1554,'<100',unemployed,4,none,4,'life insurance',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
486,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',2,none,4,car,> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
487,'no checking',(12 - 24],'existing paid','new car',> 3368,'<100','>=7',4,'co applicant',4,'no known property',> 38,none,'for free',1,skilled,1,yes,yes,female,married/wid/sep,1,1
488,'no checking',<= 12,'existing paid','new car',<= 1554,'100<=X<500','1<=X<4',3,none,2,'real estate',(28 - 38],none,rent,1,'unskilled resident',1,none,no,male,single,1,1
489,'no checking',<= 12,'existing paid','new car',> 3368,'<100','1<=X<4',2,guarantor,3,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,male,single,1,1
490,'no checking',<= 12,'critical/other existing credit',radio/tv,(1554 - 3368],'<100','>=7',2,none,2,'no known property',<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
491,'0<=X<200',> 24,'no credits/all paid',business,> 3368,'<100','>=7',2,none,4,'no known property',> 38,none,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,0
492,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'100<=X<500','1<=X<4',1,none,1,'life insurance',<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
493,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'no known savings','>=7',4,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
494,'<0',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','1<=X<4',3,none,2,'real estate',> 38,none,rent,2,'unskilled resident',2,none,no,male,single,1,1
495,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'no known savings','1<=X<4',2,none,4,car,<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,0,1
496,'0<=X<200',> 24,'existing paid',furniture/equipment,> 3368,'100<=X<500','<1',4,'co applicant',1,'no known property',(28 - 38],none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,0
497,'no checking',(12 - 24],'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','4<=X<7',4,none,3,'life insurance',> 38,none,own,2,skilled,1,none,yes,male,single,1,1
498,'0<=X<200',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','>=7',4,guarantor,2,'real estate',(28 - 38],none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
499,'>=200',<= 12,'critical/other existing credit','new car',<= 1554,'100<=X<500','>=7',2,none,4,car,<= 28,none,own,2,skilled,2,yes,yes,male,married/wid/sep,1,1
500,'<0',(12 - 24],'existing paid','new car',(1554 - 3368],'<100','<1',4,none,1,'life insurance',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
501,'<0',> 24,'existing paid','used car',> 3368,'<100','>=7',2,none,4,'no known property',> 38,none,'for free',1,skilled,2,none,yes,male,single,1,0
502,'>=200',<= 12,'existing paid',radio/tv,<= 1554,'100<=X<500','>=7',2,none,4,'real estate',> 38,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
503,'0<=X<200',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'100<=X<500','<1',4,none,4,'no known property',(28 - 38],bank,own,2,skilled,2,none,yes,male,single,0,1
504,'<0',(12 - 24],'existing paid','new car',<= 1554,'<100','<1',4,none,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,0
505,'no checking',<= 12,'existing paid','new car',<= 1554,'no known savings','1<=X<4',4,guarantor,4,'life insurance',<= 28,none,own,1,'unskilled resident',1,none,yes,male,single,0,1
506,'>=200',(12 - 24],'critical/other existing credit','used car',(1554 - 3368],'500<=X<1000','1<=X<4',2,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
507,'0<=X<200',(12 - 24],'all paid','new car',> 3368,'100<=X<500',unemployed,1,none,2,'life insurance',(28 - 38],none,own,1,'high qualif/self emp/mgmt',2,yes,yes,male,single,0,0
508,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
509,'no checking',> 24,'existing paid','used car',> 3368,'100<=X<500','>=7',4,none,2,car,> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
510,'<0',<= 12,'existing paid','new car',<= 1554,'<100','4<=X<7',4,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,0,0
511,'no checking',> 24,'existing paid','used car',> 3368,'<100','1<=X<4',2,none,2,'no known property',(28 - 38],none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
512,'>=200',(12 - 24],'existing paid',business,(1554 - 3368],'<100','4<=X<7',2,none,4,'life insurance',<= 28,none,rent,1,skilled,1,yes,yes,male,single,1,1
513,'0<=X<200',<= 12,'delayed previously',radio/tv,<= 1554,'<100','1<=X<4',4,'co applicant',4,'real estate',<= 28,none,rent,2,skilled,1,none,yes,male,married/wid/sep,1,1
514,'no checking',(12 - 24],'existing paid','new car',(1554 - 3368],'no known savings','<1',4,none,1,'life insurance',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
515,'<0',<= 12,'critical/other existing credit','new car',<= 1554,'<100','4<=X<7',4,none,3,'life insurance',(28 - 38],none,own,2,skilled,1,none,no,female,married/wid/sep,1,1
516,'<0',<= 12,'critical/other existing credit','new car',<= 1554,'<100','<1',2,none,4,'real estate',> 38,none,own,1,'unskilled resident',2,none,no,male,single,1,1
517,'no checking',> 24,'critical/other existing credit',furniture/equipment,> 3368,'<100','<1',2,none,4,'life insurance',<= 28,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,0,1
518,'<0',<= 12,'existing paid','new car',<= 1554,'100<=X<500','>=7',3,none,2,'life insurance',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
519,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,none,4,'no known property',(28 - 38],none,'for free',2,skilled,1,none,yes,male,single,1,1
520,'no checking',(12 - 24],'critical/other existing credit',repairs,> 3368,'<100','>=7',3,none,4,'no known property',> 38,none,'for free',2,skilled,1,none,yes,male,single,1,1
521,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
522,'<0',> 24,'no credits/all paid',furniture/equipment,> 3368,'<100','1<=X<4',3,none,4,'no known property',> 38,none,'for free',2,skilled,2,none,yes,male,single,0,0
523,'no checking',(12 - 24],'existing paid','used car',> 3368,'100<=X<500','4<=X<7',3,none,4,car,<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
524,'0<=X<200',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,guarantor,4,'real estate',<= 28,none,own,1,'unskilled resident',2,none,yes,female,married/wid/sep,1,1
525,'0<=X<200',> 24,'existing paid','used car',> 3368,'<100','<1',2,none,3,car,(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
526,'no checking',(12 - 24],'critical/other existing credit',education,<= 1554,'100<=X<500','1<=X<4',4,none,3,car,(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
527,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','4<=X<7',2,none,1,'real estate',> 38,none,own,2,'unskilled resident',2,none,yes,male,single,1,1
528,'<0',> 24,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',4,none,4,car,(28 - 38],none,rent,1,skilled,1,none,yes,male,married/wid/sep,0,0
529,'<0',<= 12,'existing paid','new car',<= 1554,'<100','<1',3,none,4,'real estate',> 38,none,own,1,'unskilled resident',2,yes,yes,male,single,1,1
530,'0<=X<200',> 24,'existing paid',education,(1554 - 3368],'<100','4<=X<7',3,none,1,car,(28 - 38],none,own,2,skilled,2,none,yes,male,single,1,0
531,'0<=X<200',(12 - 24],'existing paid','new car',(1554 - 3368],'100<=X<500','1<=X<4',2,none,4,car,<= 28,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,0,1
532,'no checking',<= 12,'delayed previously','used car',<= 1554,'<100','1<=X<4',4,none,4,'real estate',> 38,none,rent,1,skilled,1,none,yes,male,married/wid/sep,1,1
533,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'100<=X<500','4<=X<7',4,none,3,'life insurance',<= 28,none,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
534,'no checking',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'no known savings','<1',4,none,2,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
535,'>=200',(12 - 24],'critical/other existing credit',education,(1554 - 3368],'<100','<1',2,none,1,car,(28 - 38],none,rent,1,skilled,1,none,yes,male,married/wid/sep,0,1
536,'<0',<= 12,'existing paid','new car',<= 1554,'no known savings',unemployed,4,none,3,'life insurance',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
537,'0<=X<200',(12 - 24],'critical/other existing credit',furniture/equipment,> 3368,'<100','>=7',3,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
538,'<0',> 24,'existing paid','new car',> 3368,'<100','>=7',4,none,4,'no known property',> 38,bank,'for free',1,'high qualif/self emp/mgmt',1,none,yes,male,single,0,0
539,'>=200',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','<1',1,none,1,'life insurance',> 38,stores,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
540,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','<1',1,none,1,'real estate',<= 28,none,rent,1,skilled,1,none,yes,male,married/wid/sep,0,1
541,'no checking',(12 - 24],'delayed previously','new car',(1554 - 3368],'<100','>=7',4,none,4,'no known property',> 38,none,'for free',2,skilled,1,yes,yes,male,single,1,1
542,'<0',> 24,'existing paid',furniture/equipment,> 3368,'no known savings','>=7',4,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,male,single,0,1
543,'>=200',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,1,'real estate',(28 - 38],none,own,1,'unskilled resident',2,none,yes,male,single,0,1
544,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,4,'real estate',> 38,none,own,2,'unskilled resident',1,none,yes,male,single,1,1
545,'<0',(12 - 24],'delayed previously','new car',<= 1554,'<100',unemployed,4,none,2,'real estate',> 38,none,'for free',2,skilled,2,none,yes,male,single,0,0
546,'no checking',(12 - 24],'critical/other existing credit','new car',(1554 - 3368],'<100','1<=X<4',4,none,4,car,(28 - 38],none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
547,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','4<=X<7',3,none,1,car,(28 - 38],bank,own,1,skilled,2,none,yes,male,single,1,1
548,'<0',<= 12,'all paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,4,'real estate',<= 28,bank,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,0,0
549,'no checking',> 24,'critical/other existing credit','used car',> 3368,'no known savings','4<=X<7',2,none,1,'no known property',(28 - 38],none,'for free',2,skilled,1,yes,yes,male,single,1,1
550,'no checking',<= 12,'critical/other existing credit',repairs,<= 1554,'no known savings','4<=X<7',4,none,4,'real estate',<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
551,'no checking',<= 12,'all paid',radio/tv,(1554 - 3368],'500<=X<1000','>=7',2,none,4,'life insurance',> 38,bank,own,1,'unskilled resident',2,none,yes,male,single,1,1
552,'<0',> 24,'existing paid',radio/tv,> 3368,'<100','4<=X<7',1,guarantor,1,'real estate',(28 - 38],none,own,2,skilled,1,yes,yes,male,married/wid/sep,0,1
553,'0<=X<200',<= 12,'critical/other existing credit','new car',(1554 - 3368],'100<=X<500','<1',4,none,1,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
554,'0<=X<200',<= 12,'existing paid',education,<= 1554,'<100','4<=X<7',4,none,4,'life insurance',> 38,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
555,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','<1',2,none,1,car,<= 28,stores,own,1,skilled,1,none,yes,male,single,0,1
556,'0<=X<200',(12 - 24],'no credits/all paid','new car',(1554 - 3368],'100<=X<500','<1',3,none,3,car,<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,0,1
557,'no checking',(12 - 24],'no credits/all paid','new car',> 3368,'no known savings','1<=X<4',1,none,4,'life insurance',(28 - 38],bank,own,2,skilled,1,yes,yes,female,married/wid/sep,0,1
558,'<0',(12 - 24],'all paid',furniture/equipment,> 3368,'<100','4<=X<7',3,none,4,car,<= 28,bank,own,1,skilled,1,none,yes,male,single,0,0
559,'0<=X<200',(12 - 24],'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','<1',2,none,2,'real estate',(28 - 38],none,own,2,'unskilled resident',1,none,yes,male,single,0,1
560,'<0',(12 - 24],'existing paid','used car',(1554 - 3368],'no known savings','>=7',4,none,4,'no known property',> 38,bank,'for free',1,skilled,2,yes,yes,male,single,1,1
561,'<0',(12 - 24],'all paid',radio/tv,<= 1554,'<100','4<=X<7',4,guarantor,4,car,<= 28,bank,rent,1,'unskilled resident',1,none,yes,male,single,0,0
562,'>=200',<= 12,'delayed previously',radio/tv,<= 1554,'<100','<1',2,none,1,'life insurance',(28 - 38],bank,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
563,'0<=X<200',> 24,'existing paid','new car',> 3368,'no known savings','1<=X<4',1,none,4,'no known property',(28 - 38],none,'for free',1,skilled,1,yes,yes,male,single,0,1
564,'0<=X<200',(12 - 24],'delayed previously',business,> 3368,'no known savings','1<=X<4',4,none,2,'life insurance',(28 - 38],bank,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
565,'0<=X<200',(12 - 24],'delayed previously',radio/tv,<= 1554,'100<=X<500','4<=X<7',3,none,2,'life insurance',<= 28,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,1,0
566,'<0',<= 12,'existing paid','new car',<= 1554,'<100','4<=X<7',2,none,3,car,(28 - 38],none,own,1,skilled,1,none,yes,male,married/wid/sep,0,1
567,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'>=1000','>=7',2,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
568,'0<=X<200',> 24,'existing paid',radio/tv,> 3368,'no known savings','4<=X<7',4,none,1,car,> 38,none,own,2,skilled,2,yes,yes,male,single,1,1
569,'<0',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',3,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,female,married/wid/sep,0,0
570,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','<1',4,none,4,'real estate',<= 28,none,rent,1,'unskilled resident',1,yes,yes,female,married/wid/sep,0,0
571,'no checking',> 24,'critical/other existing credit',radio/tv,> 3368,'<100','4<=X<7',3,'co applicant',2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
572,'no checking',(12 - 24],'existing paid','used car',> 3368,'no known savings',unemployed,2,none,4,'life insurance',<= 28,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
573,'<0',(12 - 24],'existing paid',business,<= 1554,'<100','1<=X<4',4,none,4,'life insurance',<= 28,none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
574,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','>=7',4,none,4,car,<= 28,none,own,2,'unskilled resident',1,none,yes,male,single,1,1
575,'no checking',(12 - 24],'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','4<=X<7',2,'co applicant',3,car,<= 28,bank,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
576,'0<=X<200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',2,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
577,'no checking',(12 - 24],'critical/other existing credit',education,(1554 - 3368],'no known savings','1<=X<4',3,none,2,car,(28 - 38],none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
578,'0<=X<200',> 24,'critical/other existing credit','new car',(1554 - 3368],'<100','<1',4,none,4,car,<= 28,none,own,2,skilled,1,none,yes,male,married/wid/sep,0,0
579,'no checking',(12 - 24],'existing paid',retraining,<= 1554,'<100','<1',4,none,3,car,<= 28,none,own,2,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
580,'0<=X<200',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','>=7',3,guarantor,3,'real estate',(28 - 38],bank,own,2,skilled,1,none,yes,male,single,0,1
581,'0<=X<200',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','<1',1,none,3,'real estate',> 38,bank,own,2,'unskilled resident',2,none,yes,male,single,1,1
582,'no checking',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',4,none,2,'real estate',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
583,'0<=X<200',> 24,'existing paid',repairs,(1554 - 3368],'<100','<1',4,none,1,'no known property',(28 - 38],none,rent,1,'unskilled resident',1,none,yes,male,single,0,0
584,'no checking',<= 12,'existing paid','new car',(1554 - 3368],'no known savings','>=7',4,none,4,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
585,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',1,none,4,'real estate',<= 28,bank,rent,1,skilled,1,none,yes,female,married/wid/sep,0,1
586,'<0',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','1<=X<4',2,none,2,'real estate',(28 - 38],none,rent,2,skilled,2,none,yes,male,single,1,1
587,'<0',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',4,guarantor,1,'life insurance',<= 28,none,own,1,'unskilled resident',1,none,yes,male,single,1,1
588,'<0',(12 - 24],'existing paid','domestic appliance',<= 1554,'<100','1<=X<4',4,none,3,'real estate',> 38,none,own,1,'unskilled resident',1,yes,yes,male,married/wid/sep,0,1
589,'<0',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','>=7',3,none,3,'life insurance',> 38,none,own,2,skilled,1,none,yes,male,single,0,1
590,'<0',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','4<=X<7',4,none,3,'real estate',> 38,none,own,4,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
591,'0<=X<200',(12 - 24],'delayed previously','new car',(1554 - 3368],'no known savings','1<=X<4',4,none,4,car,> 38,none,rent,2,skilled,1,yes,yes,female,married/wid/sep,1,1
592,'no checking',(12 - 24],'existing paid',business,(1554 - 3368],'>=1000','>=7',4,none,4,'real estate',(28 - 38],bank,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
593,'0<=X<200',(12 - 24],'existing paid','new car',(1554 - 3368],'<100','1<=X<4',3,none,4,'life insurance',<= 28,none,rent,1,'unskilled resident',1,yes,yes,female,married/wid/sep,0,0
594,'<0',(12 - 24],'all paid',other,<= 1554,'no known savings','>=7',4,none,3,car,> 38,stores,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
595,'0<=X<200',<= 12,'all paid','new car',<= 1554,'100<=X<500','<1',1,none,1,'life insurance',(28 - 38],stores,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,0,0
596,'<0',(12 - 24],'existing paid','new car',<= 1554,'<100','4<=X<7',4,none,4,car,<= 28,none,rent,2,skilled,1,none,yes,female,married/wid/sep,0,0
597,'0<=X<200',(12 - 24],'no credits/all paid',business,> 3368,'<100','1<=X<4',1,none,4,'real estate',(28 - 38],none,own,3,'unskilled resident',1,yes,yes,male,single,0,1
598,'no checking',(12 - 24],'critical/other existing credit','new car',(1554 - 3368],'<100','4<=X<7',2,none,2,'life insurance',(28 - 38],bank,own,2,skilled,1,none,yes,male,single,0,1
599,'no checking',(12 - 24],'delayed previously',business,> 3368,'<100','1<=X<4',1,none,2,'no known property',(28 - 38],none,'for free',1,skilled,1,none,yes,male,single,1,1
600,'0<=X<200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','<1',1,guarantor,1,'real estate',> 38,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
601,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',4,none,1,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
602,'0<=X<200',(12 - 24],'all paid',education,(1554 - 3368],'<100','4<=X<7',4,none,4,'no known property',(28 - 38],bank,'for free',1,'unskilled resident',1,none,yes,female,married/wid/sep,0,0
603,'no checking',> 24,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',4,none,2,car,<= 28,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,1
604,'>=200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','<1',4,none,2,'life insurance',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
605,'<0',(12 - 24],'all paid',furniture/equipment,(1554 - 3368],'500<=X<1000','1<=X<4',4,none,4,'real estate',<= 28,stores,own,1,skilled,1,yes,yes,male,single,1,1
606,'no checking',(12 - 24],'critical/other existing credit',business,> 3368,'<100','1<=X<4',3,none,2,'real estate',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
607,'0<=X<200',> 24,'existing paid',radio/tv,(1554 - 3368],'100<=X<500','1<=X<4',4,'co applicant',4,'no known property',> 38,none,'for free',1,skilled,1,none,yes,female,married/wid/sep,0,1
608,'no checking',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','<1',4,none,1,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
609,'no checking',(12 - 24],'existing paid','used car',<= 1554,'no known savings','>=7',4,none,4,'no known property',> 38,bank,'for free',1,skilled,2,none,yes,male,single,1,1
610,'<0',<= 12,'existing paid','domestic appliance',<= 1554,'100<=X<500',unemployed,4,none,3,'life insurance',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
611,'>=200',<= 12,'existing paid','new car',<= 1554,'100<=X<500','>=7',1,none,4,'no known property',> 38,none,'for free',1,'unskilled resident',2,none,yes,female,married/wid/sep,0,1
612,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'>=1000','<1',4,none,2,car,(28 - 38],bank,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
613,'<0',(12 - 24],'all paid','used car',> 3368,'<100','1<=X<4',1,guarantor,4,car,<= 28,bank,rent,1,skilled,1,none,no,female,married/wid/sep,1,1
614,'no checking',(12 - 24],'delayed previously',furniture/equipment,(1554 - 3368],'<100','4<=X<7',4,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
615,'0<=X<200',> 24,'no credits/all paid',business,> 3368,'no known savings','1<=X<4',2,none,2,car,> 38,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
